cpu_usage_pct,sufficient_cpu
1.5,0
0.5,0
0.466666667,0
0.4,0
0.333333333,0
0.5,0
0.5,0
0.5,0
0.5,0
0.333333333,0
0.466666667,0
0.5,0
0.5,0
0.433333333,0
0.466666667,0
0.5,0
0.5,0
0.433333333,0
0.2,0
0.5,0
0.5,0
0.433333333,0
0.433333333,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.433333333,0
0.366666667,0
0.466666667,0
0.5,0
0.5,0
0.466666667,0
0.5,0
0.466666667,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.466666667,0
0.5,0
0.4,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.4,0
0.433333333,0
0.466666667,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.333333333,0
0.433333333,0
0.433333333,0
0.5,0
0.5,0
0.5,0
0.5,0
0.466666667,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.433333333,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.466666667,0
0.5,0
0.5,0
0.5,0
0.5,0
0.466666667,0
0.466666667,0
0.5,0
0.5,0
0.5,0
0.433333333,0
0.433333333,0
0.5,0
0.5,0
0.466666667,0
0.233333333,0
0.333333333,0
0.333333333,0
0.266666667,0
5.6,0
0.5,0
0.5,0
0.433333333,0
0.366666667,0
0.366666667,0
0.5,0
0.5,0
0.5,0
0.433333333,0
0.5,0
0.433333333,0
0.3,0
0.466666667,0
0.433333333,0
1.466666667,0
3.866666667,0
3.8,0
5.6,0
2.233333333,0
0.366666667,0
0.5,0
0.233333333,0
0.4,0
0.5,0
0.5,0
0.5,0
0.5,0
0.366666667,0
0.3,0
0.366666667,0
0.366666667,0
0.166666667,0
0.2,0
0.333333333,0
2.2,0
3.133333333,0
0.466666667,0
0.4,0
0.2,0
0.3,0
0.166666667,0
0.2,0
0.4,0
0.366666667,0
0.466666667,0
0.5,0
0.2,0
0.166666667,0
0.166666667,0
0.333333333,0
0.166666667,0
0.333333333,0
0.5,0
0.5,0
0.5,0
0.9,0
0.5,0
0.227272727,0
0.166666667,0
0.1,0
0.2,0
0.166666667,0
0.1,0
0.433333333,0
0.333333333,0
85.4333,1
97.2222,1
0.133333333,0
0.1,0
0.2,0
0.066666667,0
0.166666667,0
0.4,0
0.9,0
1.333333333,0
0.1,0
0.166666667,0
0.333333333,0
0.066666667,0
89.68,1
98.324,1
0.233333333,0
0.5,0
0.366666667,0
0.133333333,0
0.833333333,0
4,0
0.266666667,0
0.2,0
0.166666667,0
0.033333333,0
0.2,0
0.433333333,0
0.1,0
0.1,0
81.452,1
0.033333333,0
2.133333333,0
29.6,0
26.53333333,0
10.23333333,0
7.9,0
7.533333333,0
1.733333333,0
87.768,1
0.1,0
76.456,1
0.066666667,0
0.133333333,0
0.366666667,0
0.333333333,0
0.5,0
0.133333333,0
0.066666667,0
0.066666667,0
80.325,1
0.1,0
94.743,1
0.066666667,0
0.1,0
0.5,0
0.333333333,0
0.033333333,0
0.033333333,0
0.066666667,0
79.568,1
0.033333333,0
89.346,1
0.1,0
0.3,0
0.5,0
0.166666667,0
76.444444,1
76.7547,1
94.245,1
7,0
0.3,0
0.266666667,0
0.133333333,0
0.366666667,0
0.4,0
0.266666667,0
0.033333333,0
0.166666667,0
93.1248,1
85.657,1
0.033333333,0
0.2,0
0.3,0
0.5,0
2.666666667,0
88.654,1
4.3,0
0.4,0
0.033333333,0
81.434,1
0.1,0
0.166666667,0
0.466666667,0
0.433333333,0
0.6,0
0.266666667,0
0.433333333,0
0.1,0
0.033333333,0
0.1,0
0.5,0
0.3,0
0.433333333,0
0.266666667,0
0.033333333,0
0.2,0
0.133333333,0
0.166666667,0
0.366666667,0
0.533333333,0
0.6,0
1.366666667,0
26.56666667,0
28.56666667,0
28.83333333,0
32.9,0
30.1,0
62.9,0
43.43333333,0
12.66666667,0
37.06666667,0
17.13333333,0
14.2,0
5.9,0
18.3,0
26.13333333,0
1.333333333,0
0.3,0
75.2,1
96.5442,1
83.132,1
84.785,1
93.5661,1
90.112,1
88.3,1
99.2,1
0.033333333,0
91.446,1
98.342,1
92.421,1
99.1145,1
75.2,1
97.4,1
80.12,1
91.4,1
76.551,1
0.133333333,0
99,1
97.3,1
78.642,1
93.4,1
77.6437,1
83.4,1
75.873,1
96.425,1
81.32,1
86.476,1
82.367,1
81.8,1
91.3,1
85.7,1
90.2,1
75.825,1
92.8,1
82.578,1
0.166666667,0
92.5,1
0.033333333,0
81.23,1
82.7,1
75.463,1
92.5,1
89.436,1
81.659,1
0.107142857,0
0.066666667,0
78.469,1
87.5,1
89.265,1
86.7,1
94.3,1
79.8,1
79.547,1
95.8,1
0.2,0
80.387,1
98.298,1
75.8,1
82.4,1
81.9,1
96.389,1
92.6,1
94.9,1
80.321,1
91.2,1
90.396,1
89.365,1
82.1,1
84.7,1
92.643,1
86.597,1
94.362,1
95.35,1
0.214285714,0
88.7,1
75.48,1
0.535714286,0
93.5,1
98.492,1
