memory_usage_pct,sufficient_memory
12.58839436,0
5.579710992,0
2.245485376,0
0.95262013,0
2.041363615,0
0.476310065,0
2.109394468,0
1.15674838,0
1.769175311,0
0.136090908,0
1.633074669,0
0.95262662,0
1.428952909,0
1.837222387,0
1.7011185,0
1.020657473,0
1.224798701,0
2.585714267,0
1.224795456,0
1.42893993,0
1.42893993,0
2.313535696,0
2.44961687,0
1.565034082,0
1.292849022,0
1.224798701,0
2.245485376,0
2.313532451,0
2.381573038,0
1.905262973,0
1.428946419,0
1.360889609,0
1.973306805,0
2.041347392,0
0.952613641,0
0.476306821,0
1.360896098,0
1.156761359,0
1.973310049,0
0.748485391,0
1.496980516,0
1.905256485,0
0.884579544,0
0.272181815,0
0.952636354,0
0.408262989,0
1.088720772,0
1.360896098,0
1.020657473,0
1.156761359,0
1.292845777,0
1.973306805,0
1.428933441,0
0.748495125,0
1.156764604,0
0.816525978,0
1.633081158,0
1.224798701,0
1.701112011,0
1.633071424,0
1.428930196,0
1.156751625,0
1.020657473,0
0.544350652,0
1.428949664,0
1.49699025,0
1.22481168,0
0.816535712,0
1.428936685,0
1.565027592,0
1.360889609,0
94.238,1
2.51768017,0
3.198128218,0
2.517670436,0
2.313529208,0
2.857889593,0
1.496977271,0
1.088711038,0
0.068043832,0
1.496983762,0
1.088707793,0
1.156751625,0
0.88456981,0
1.565034082,0
1.565040571,0
1.973306805,0
0.136087663,0
0.476306821,0
1.769162332,0
1.633077913,0
1.565021103,0
1.020657473,0
1.42893993,0
1.360892854,0
1.020667207,0
1.020657473,0
1.7011185,0
1.428930196,0
1.292852267,0
1.156758114,0
1.49699025,0
0.680448049,0
1.633071424,0
1.15674838,0
2.109384734,0
1.224798701,0
1.020657473,0
1.088704549,0
1.360892854,0
1.088714283,0
3.878579513,0
4.150754838,0
1.973297071,0
1.496977271,0
2.381579528,0
1.769172066,0
3.606404186,0
2.857896082,0
2.109404202,0
2.517660702,0
2.177444789,0
1.42893993,0
0.884582788,0
1.70112499,0
2.381573038,0
2.041353881,0
3.878579513,0
9.730488543,0
6.124077866,0
5.987990204,0
1.973313294,0
2.925949648,0
1.360892854,0
1.020657473,0
1.224798701,0
1.224801946,0
1.360886364,0
0.816525978,0
1.565037326,0
1.769172066,0
1.973306805,0
2.313535696,0
0.408262989,0
1.15675487,0
93.451,1
1.292849022,0
7.212808373,0
2.245488621,0
1.292855511,0
1.156751625,0
3.266168805,0
4.763172035,0
2.109394468,0
2.381573038,0
5.647754822,0
2.857889593,0
1.428946419,0
0.952636354,0
1.22480519,0
0.408262989,0
1.565024348,0
1.020667207,0
1.905259728,0
1.633071424,0
1.224798701,0
1.15675487,0
1.905259728,0
3.878576268,0
1.762975939,0
1.224808435,0
1.224798701,0
0.612394484,0
0.544350652,0
1.701112011,0
1.633071424,0
3.742488605,0
1.565034082,0
2.041350636,0
0.272181815,0
0.272175326,0
1.020657473,0
0.204131495,0
1.088714283,0
1.565034082,0
2.245485376,0
10.27485866,0
8.981990173,0
3.810529192,0
2.177444789,0
2.177448034,0
1.020657473,0
1.020657473,0
1.837202919,0
2.041344147,0
0.612394484,0
1.224798701,0
1.360886364,0
6.124081111,0
1.42893993,0
2.313525962,0
1.837212653,0
1.020657473,0
1.224798701,0
1.42893993,0
0.952623375,0
2.653754854,0
2.517670436,0
1.633071424,0
1.973300315,0
21.43431958,0
33.27423179,0
23.47567671,0
14.69780829,0
12.24817196,0
6.736485329,0
2.041353881,0
1.224798701,0
1.496987005,0
1.42893993,0
0.612394484,0
1.428930196,0
0.952623375,0
4.899262942,0
2.449626604,0
0.816525978,0
0.476306821,0
2.44961687,0
1.905259728,0
1.224798701,0
1.020657473,0
0.816525978,0
1.224808435,0
1.224808435,0
0.884586033,0
